Slow Steps,Slow Thresh,Fast Thresh,Conv Window,Min Var,Accuracy,StdErr,TPS,NFE,Status
4,0.97,0.5,3,0.02,0.67,0.0473,55.51620864868164,4392,FAIL
4,0.97,0.5,3,0.04,0.65,0.0479,56.647705078125,4283,FAIL
4,0.97,0.5,3,0.06,0.65,0.0479,56.713748931884766,4255,FAIL
4,0.97,0.5,4,0.02,0.66,0.0476,55.80356216430664,4348,FAIL
4,0.97,0.5,4,0.04,0.65,0.0479,56.663814544677734,4260,FAIL
4,0.97,0.5,4,0.06,0.65,0.0479,56.69866943359375,4253,FAIL
4,0.97,0.6,3,0.02,0.76,0.0429,52.54193115234375,4884,PASS (>0.75)
4,0.97,0.6,3,0.04,0.74,0.0441,52.99281311035156,4793,FAIL
4,0.97,0.6,3,0.06,0.74,0.0441,53.1483268737793,4771,FAIL
4,0.97,0.6,4,0.02,0.75,0.0435,52.453861236572266,4890,FAIL
4,0.97,0.6,4,0.04,0.74,0.0441,53.161861419677734,4783,FAIL
4,0.97,0.6,4,0.06,0.74,0.0441,53.150604248046875,4771,FAIL
4,0.97,0.7,3,0.02,0.75,0.0435,46.959659576416016,5906,FAIL
4,0.97,0.7,3,0.04,0.75,0.0435,47.7059211730957,5749,FAIL
4,0.97,0.7,3,0.06,0.75,0.0435,47.85210418701172,5725,FAIL
4,0.97,0.7,4,0.02,0.75,0.0435,47.047630310058594,5895,FAIL
4,0.97,0.7,4,0.04,0.75,0.0435,47.725608825683594,5747,FAIL
4,0.97,0.7,4,0.06,0.75,0.0435,47.86450958251953,5725,FAIL
4,0.97,0.8,3,0.02,0.75,0.0435,41.12052536010742,7212,FAIL
4,0.97,0.8,3,0.04,0.75,0.0435,41.704986572265625,7073,FAIL
4,0.97,0.8,3,0.06,0.75,0.0435,41.91145706176758,7033,FAIL
4,0.97,0.8,4,0.02,0.75,0.0435,41.06587219238281,7233,FAIL
4,0.97,0.8,4,0.04,0.75,0.0435,41.70881271362305,7070,FAIL
4,0.97,0.8,4,0.06,0.75,0.0435,41.86818313598633,7033,FAIL
4,0.99,0.5,3,0.02,0.69,0.0465,55.16645812988281,4410,FAIL
4,0.99,0.5,3,0.04,0.68,0.0469,56.14530944824219,4294,FAIL
4,0.99,0.5,3,0.06,0.68,0.0469,56.573421478271484,4272,FAIL
4,0.99,0.5,4,0.02,0.7,0.0461,55.6104850769043,4380,FAIL
4,0.99,0.5,4,0.04,0.68,0.0469,56.38938522338867,4271,FAIL
4,0.99,0.5,4,0.06,0.68,0.0469,56.54057693481445,4270,FAIL
4,0.99,0.6,3,0.02,0.73,0.0446,52.25029754638672,4946,FAIL
4,0.99,0.6,3,0.04,0.71,0.0456,53.1015510559082,4824,FAIL
4,0.99,0.6,3,0.06,0.71,0.0456,53.206485748291016,4802,FAIL
4,0.99,0.6,4,0.02,0.72,0.0451,52.31283950805664,4941,FAIL
4,0.99,0.6,4,0.04,0.71,0.0456,53.008853912353516,4817,FAIL
4,0.99,0.6,4,0.06,0.71,0.0456,53.16597366333008,4802,FAIL
4,0.99,0.7,3,0.02,0.76,0.0429,46.59878158569336,5999,PASS (>0.75)
4,0.99,0.7,3,0.04,0.76,0.0429,47.48418426513672,5813,PASS (>0.75)
4,0.99,0.7,3,0.06,0.76,0.0429,47.700767517089844,5778,PASS (>0.75)
4,0.99,0.7,4,0.02,0.76,0.0429,46.6656608581543,5985,PASS (>0.75)
4,0.99,0.7,4,0.04,0.76,0.0429,47.532527923583984,5808,PASS (>0.75)
4,0.99,0.7,4,0.06,0.76,0.0429,47.66610336303711,5777,PASS (>0.75)
4,0.99,0.8,3,0.02,0.75,0.0435,40.805641174316406,7291,FAIL
4,0.99,0.8,3,0.04,0.75,0.0435,41.58623123168945,7114,FAIL
4,0.99,0.8,3,0.06,0.75,0.0435,41.773929595947266,7067,FAIL
